FEINumber,LegalName,AddressLine1,AddressLine2,City,StateCode,State,ZipCode,CountryCode,CountryName,Region,ProductType,Center,ActionType,ActionTakenDate,FiscalYear,CaseInjunctionID,FirmProfile
3017920783,Troya Del Campo USA LLC,2000 S Main St Apt 2020,,Mcallen,TX,Texas,78503-5416,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2024-09-05,2024,691166,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3017920783
3003167539,"Eniva USA, Inc.",2700 Campus Dr,,Plymouth,MN,Minnesota,55441-2601,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2009-11-20,2010,81285,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003167539
3011104045,"Alfasigma USA, Inc.",2008 Claiborne Ave,,Shreveport,LA,Louisiana,71103-4125,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2009-11-20,2010,73703,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3011104045
3005043113,Sebastian Joe's Corporation,4301 Nicollet Ave,,Minneapolis,MN,Minnesota,55409-2072,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-03-09,2012,274297,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3005043113
3002840733,MADE Inc.,140 Pennsylvania Ave,,Oakmont,PA,Pennsylvania,15139-1923,US,United States,Domestic,Food/Cosmetics,CFSAN,Injunction,2012-03-09,2012,226,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3002840733
3007182945,"LIANYUNGANG AIKANG FOOD CO., LTD",Chaoyang,"118 Qianjin South Road; Town, Development Zone",Lianyungang City,,,,CN,China,Foreign,Food/Cosmetics,CFSAN,Warning Letter,2019-12-04,2020,593495,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007182945
3007159387,"Sassy Cow Creamery, LLC",W4192 Bristol Rd,,Columbus,WI,Wisconsin,53925-9277,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2019-12-04,2020,587954,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007159387
3003116218,"Mongiello Italian Cheese Specialties, LLC dba Formaggio Italian Cheese Specialties",250 Hilldale Rd,,Hurleyville,NY,New York,12747-5301,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2014-01-23,2014,410974,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003116218
3004332018,Pacific Standard Distributors Inc,5200 Meadows Rd Ste 150,,Lake Oswego,OR,Oregon,97035-0066,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2014-01-23,2014,406195,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004332018
3003821702,"Marine Foods Express, Ltd",5757 South Loop E,,Houston,TX,Texas,77033-1604,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-11-01,2013,376018,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003821702
2129143,Bay View Packing Company,1906 W Saint Paul Ave,,Milwaukee,WI,Wisconsin,53233-2634,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-11-01,2013,372678,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2129143
3008089321,Ritters Fish Market LLC,30891 State Hwy 27,,Prairie Du Chien,WI,Wisconsin,53821-8707,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-11-01,2013,366818,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3008089321
11592,Hijos De Carlos Albo S. L.,"Zona Le-5, Parcelas 3 Plataforma Industrial Pilsan 4 5",,Salvaterra Do Mino,,,,ES,Spain,Foreign,Food/Cosmetics,CFSAN,Warning Letter,2012-06-05,2012,292957,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=11592
12960,"Hsien-Pin Frozen Foods Co., Ltd.",21 Zyquiang Rd.,,Su-Ao Township,,,,TW,Taiwan,Foreign,Food/Cosmetics,CFSAN,Warning Letter,2016-01-14,2016,486186,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=12960
13001,Grant's Smokehouse Ltd.,Site 14 Solway Trading Estate,,Maryport,,,,GB,United Kingdom,Foreign,Food/Cosmetics,CFSAN,Warning Letter,2013-07-08,2013,398456,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=13001
1010345,"C & S Wholesale Services, Inc.",3300 Nw 123rd St,,Miami,FL,Florida,33167-2425,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-02-17,2012,279898,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1010345
3004664372,"Nu Garden, LLC",1015 Dea Ln Unit D,,Taos,NM,New Mexico,87571-6728,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-02-17,2012,288159,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004664372
3004623104,"Protica, Inc.",1002 Macarthur Rd,,Whitehall,PA,Pennsylvania,18052-7098,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2012-02-17,2012,239374,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004623104
3011097096,Blume Organics Boutique and Cafe,300 Willow Bend Rd,,Peachtree City,GA,Georgia,30269-3349,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2018-05-17,2018,543786,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3011097096
1011345,Orangeburg Pecan Company Inc,761 Russell St,,Orangeburg,SC,South Carolina,29115-5819,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2018-05-17,2018,544396,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1011345
1013204,Dixie Mills LLC,130 2nd St W,,Tifton,GA,Georgia,31794-4366,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-03-22,2011,163052,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1013204
2000044801,Montes Tortilla Factory,7536 N Fm 88,,Weslaco,TX,Texas,78599-4263,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2017-11-14,2018,541060,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=2000044801
3003689916,Mannatech Incorporated,1410 Lakeside Pkwy Ste 200,,Flower Mound,TX,Texas,75028-4099,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2017-11-14,2018,521321,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003689916
1014259,B & H Foods Inc,2122 Thrift Rd,,Charlotte,NC,North Carolina,28208-4449,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2017-11-14,2018,528472,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1014259
1014317,Greenwood Ice Cream,4829 Peachtree Rd,,Chamblee,GA,Georgia,30341-3113,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2021-12-17,2022,616395,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1014317
3013178862,Naturefield Company Limited,Galina St. Mary,,Kingston,,,,JM,Jamaica,Foreign,Food/Cosmetics,CFSAN,Warning Letter,2017-11-16,2018,538557,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3013178862
3007231340,Thang Loi Frozen Food Enterprise,"Lot 4-6-8, 1a St. Tan Tao Industrial Park","Tan Tao A Ward, Binh Tan Districtcity",Ho Chi Minh,,,,VN,Vietnam,Foreign,Food/Cosmetics,CFSAN,Warning Letter,2017-11-16,2018,538850,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007231340
3004322341,U.L. Manufacturing Company Ltd.,"Dovecot Park, St. Johns Road",P.O.,Spanish Town 1,,,,JM,Jamaica,Foreign,Food/Cosmetics,CFSAN,Warning Letter,2017-11-16,2018,539712,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004322341
1000116068,"Dakota Pure Water, Inc.",3431 4th Ave S Ste B,,Fargo,ND,North Dakota,58103-2227,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2011-08-29,2011,202134,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1000116068
3005318581,Lupa Gourmet Inc.,657 37th St,,Union City,NJ,New Jersey,07087-2514,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2016-03-21,2016,492718,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3005318581
1018460,Lakewood Organics LLC,1035 Nw 21st Ter,,Miami,FL,Florida,33127-4517,US,United States,Domestic,Food/Cosmetics,CFSAN,Warning Letter,2010-07-09,2010,99126,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=1018460
3008485725,"Salud Natural Entrepreneur, Inc.",1120 Glen Rock Ave,,Waukegan,IL,Illinois,60085-5458,US,United States,Domestic,Food/Cosmetics,CFSAN,Injunction,2022-03-07,2022,344,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3008485725
