FEINumber,LegalName,AddressLine1,AddressLine2,City,StateCode,State,ZipCode,CountryCode,CountryName,Region,ActionType,ActionTakenDate,FiscalYear,CaseInjunctionID,FirmProfile,WarningLetterLink
3017920783,Troya Del Campo USA LLC,2000 S Main St Apt 2020,unavailable,Mcallen,TX,Texas,78503-5416,US,United States,Domestic,Warning Letter,2024-09-05,2024,691166,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3017920783,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3017920783"
3003167539,"Eniva USA, Inc.",2700 Campus Dr,unavailable,Plymouth,MN,Minnesota,55441-2601,US,United States,Domestic,Warning Letter,2009-11-20,2010,81285,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003167539,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003167539"
3011104045,"Alfasigma USA, Inc.",2008 Claiborne Ave,unavailable,Shreveport,LA,Louisiana,71103-4125,US,United States,Domestic,Warning Letter,2009-11-20,2010,73703,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3011104045,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3011104045"
3005043113,Sebastian Joe's Corporation,4301 Nicollet Ave,unavailable,Minneapolis,MN,Minnesota,55409-2072,US,United States,Domestic,Warning Letter,2012-03-09,2012,274297,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3005043113,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3005043113"
3002840733,MADE Inc.,140 Pennsylvania Ave,unavailable,Oakmont,PA,Pennsylvania,15139-1923,US,United States,Domestic,Injunction,2012-03-09,2012,226,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3002840733,
3007182945,"LIANYUNGANG AIKANG FOOD CO., LTD",Chaoyang,"118 Qianjin South Road; Town, Development Zone",Lianyungang City,unavailable,unavailable,unavailable,CN,China,Foreign,Warning Letter,2019-12-04,2020,593495,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007182945,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lianyungang-aikang-food-co-ltd-593495-12042019
3007159387,"Sassy Cow Creamery, LLC",W4192 Bristol Rd,unavailable,Columbus,WI,Wisconsin,53925-9277,US,United States,Domestic,Warning Letter,2019-12-04,2020,587954,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3007159387,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sassy-cow-creamery-llc-587954-12042019
3003116218,"Mongiello Italian Cheese Specialties, LLC dba Formaggio Italian Cheese Specialties",250 Hilldale Rd,unavailable,Hurleyville,NY,New York,12747-5301,US,United States,Domestic,Warning Letter,2014-01-23,2014,410974,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003116218,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003116218"
3004332018,Pacific Standard Distributors Inc,5200 Meadows Rd Ste 150,unavailable,Lake Oswego,OR,Oregon,97035-0066,US,United States,Domestic,Warning Letter,2014-01-23,2014,406195,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004332018,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3004332018"
3003821702,"Marine Foods Express, Ltd",5757 South Loop E,unavailable,Houston,TX,Texas,77033-1604,US,United States,Domestic,Warning Letter,2012-11-01,2013,376018,https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003821702,"no direct link access, find warning letters in firm profile instead: https://datadashboard.fda.gov/ora/firmprofile.htm?FEIc=3003821702"
